"candidato_id","nome","nome_urna","partido_sigla"
60000610992,"MARIA DE FATIMA OLIVEIRA SILVA","FATIMA OLIVEIRA","PT"
60000612024,"ERIKA VIEIRA LIMA CARVALHO","ERIKA LOKA","PT"
60000612028,"FRANCISCO IVAN LIMA","IVAN LIMA","PT"
70000610833,"WASNY NAKLE DE ROURE","WASNY","PT"
70000610809,"ERICO GRASSI CADEMARTORI","ERICO GRASSI","PT"
70000610808,"WALDICEIA DE MORAES TEIXEIRA DA SILVA","PASTORA WALL","PT"
70000610804,"HELLEN CRISTHYAN CORREIA BOAVENTURA","HELLEN FRIDA","PT"
70000610822,"JOSE LUIS DIAS BORGES","LUISINHO","PT"
70000610830,"JULIO FLAVIO GAMEIRO MIRAGAYA","JÚLIO MIRAGAYA","PT"
70000610853,"WALTER CELIO DE ALMEIDA","WALTER CELIO","PT"
70000610798,"RODRIGO LOPES BRITTO","RODRIGO BRITTO","PT"
70000610849,"ANTONIO SABINO DE VASCONCELOS NETO","SABINO","PT"
70000610837,"ERIKA JUCA KOKAY","ERIKA KOKAY","PT"
70000610814,"LUIZA GONZAGA GOMES DE SÁ","LUIZA GOMES","PT"
70000610850,"GÉSSYCA ALVES DE SOUZA","GESSYCA","PT"
70000610820,"RICARDO GUANABARA LEAL","GUANABARA","PT"
70000610842,"OSNI DE SOUZA CALIXTO","OSNI CALIXTO","PT"
70000610805,"RICARDO VALE DA SILVA","RICARDO VALE","PT"
70000610811,"VIRIDIANO CUSTODIO DE BRITO","VIRIDIANO BRITO","PT"
70000610801,"ELICEUDA SILVA DE FRANÇA","PROFESSORA ELICEUDA","PT"
70000610818,"REGINA LUCIA TOME DOS SANTOS","REGINA TOMÉ","PT"
70000610825,"JOSE VICENTE RODRIGUES DA SILVA","PROFESSOR VICENTE","PT"
70000610817,"FRANCISCO DOMINGOS DOS SANTOS","CHICO VIGILANTE","PT"
70000610843,"REBECA GOMES DE FREITAS","REBECA GOMES","PT"
70000610852,"ROBERTO CARLOS PINHEIRO SOUSA","TIM","PT"
70000610828,"JOSE VASCONCELOS CAMPOS DE SOUZA","PROFESSOR VASCO","PT"
70000610800,"SANTIAGO DA SILVA FRANÇA","DR. SANTIAGO","PT"
70000610839,"GERALDO MAGELLA ALMEIDA SALVADO","MAGELLINHA","PT"
70000610834,"ABIAS DE SOUSA SILVA","ABIAS DE SOUSA SILVA","PT"
70000610823,"LUCIMAR ALVES MARTINS","LUCIMAR","PT"
70000610803,"GLAUCO DE SILVA E SILVA","PROFESSOR GLAUCO","PT"
70000610846,"OLGA CRISTINA ROCHA DE FREITAS","OLGA CRISTINA","PT"
70000610836,"DANIEL QUEIROZ GALVÃO","DANIEL PXEIRA","PT"
70000610802,"MARIA DE DEUS COELHO ROCHA FARIA","PROFESSORA DEUSINHA","PT"
70000610821,"RONALDO UBIRAJARA DO CARMO","RONALDO CARMO","PT"
70000610824,"DARCY LUIZ DE OLIVEIRA","DARCY LUIZ","PT"
70000610806,"MICHEL PLATINI GOMES FERNANDES","MICHEL PLATINI","PT"
70000610827,"MARIANA ROSA MOREIRA DOS SANTOS","MARIANA ROSA","PT"
70000610841,"LUIZ FERNANDO CASTELO BRANCO REBELLO HORTA","FERNANDO HORTA","PT"
70000610810,"LEILA REGINA LOPES","NEGALAIZE","PT"
70000610844,"VANESSA NEGRINI","VANESSA É O BICHO","PT"
70000610847,"IOLANDA RODRIGUES ROCHA","IOLANDA RODRIGUES  ROCHA","PT"
70000610838,"EXPEDITO AFONSO VELOSO","EXPEDITO VELOSO","PT"
70000610819,"VANDERLEI MACIEL LIMA","WANDER MACIEL","PT"
70000610799,"JUAREZ PAULINO DE MEDEIROS","JUAREZ PAULINO","PT"
70000610813,"JOSMAILTON INACIO LOPES","JOSMAILTON","PT"
70000610831,"CLAUDIA PEREIRA FARINHA","CLAUDIA FARINHA","PT"
70000610851,"MARIA AMERICA MENEZES BONFIM HAMU","AMERICA BONFIM","PT"
70000610796,"ROBERTO POLICARPO FAGUNDES","POLICARPO","PT"
70000610845,"CRISTIANE PEREIRA DOS SANTOS","CRIS SANTOS","PT"
70000610807,"ARLETE AVELAR SAMPAIO","ARLETE SAMPAIO","PT"
70000610840,"JOAQUIM RODRIGUES DOS SANTOS FILHO","JOAQUIM RODRIGUES","PT"
70000610816,"OSVANILDO LOURENSO DA SILVA","OSVANILDO LOURENSO","PT"
70000610826,"FRANCISCO DE ASSIS DOS SANTOS","FRANCISCO DA M NORTE","PT"
70000610835,"ANA CRISTINA ROBERTO","CRISTINA ROBERTO","PT"
70000610797,"GERALDO MAGELA PEREIRA","MAGELA","PT"
70000610848,"JOSE ALVES DA SILVA","ZE ALVES","PT"
70000610829,"THELMA REGINA VIEIRA DE MELLO","THELMA MELLO","PT"
70000610815,"ALISSON LUIZ DE MACEDO VEIRA","ALLISSON RENOVAÇÃO","PT"
70000610812,"ALDEMIO OGLIARI","ALDEMIO OGLIARI","PT"
70000610832,"MARCELO DA COSTA PINTO NEVES","MARCELO NEVES","PT"
80000626754,"AILTON PEREIRA DOS SANTOS","AILTON PEREIRA","PT"
80000626731,"MARCIA CARVALHO FERREIRA","MARCIA CARVALHO","PT"
80000626729,"MARCO ANTONIO MENDONÇA MOROZESKY","MOROBA","PT"
80000626755,"IRINY NICOLAU CORRES LOPES","IRINY LOPES","PT"
80000626726,"BRUNA MARIA BARBIERI","BRUNA BARBIERI","PT"
80000626741,"MARCOS DOS SANTOS","MARQUINHO SANTOS","PT"
80000626751,"FABIO JUNIO DIAS DA SILVA","FABIO JUNIO","PT"
80000626743,"LOURIVAL ZEFERINO PEREIRA","LOURIVAL DO PT","PT"
80000626730,"LUARA RAMOS SOUZA","LUARA","PT"
80000626740,"VALTER PIRES PEREIRA SCHIAVO","PROF. MC VALTINHO","PT"
80000626747,"MARCELA ROMÃO SILVA","MARCELA ROMÃO","PT"
80000626732,"EDUARDO DA COSTA PAIVA","EDUARDO LULA PAIVA","PT"
80000626742,"ELIAS DA CRUZ RIBEIRO","ELIAS O BAIANO","PT"
80000626746,"JORGE CORREIA MACIEL DOS SANTOS","JORGE DA PIEDADE","PT"
80000626737,"HONORIO JOSE DE SIQUEIRA","PADRE HONÓRIO","PT"
80000626753,"THIAGO MAGNO SILVA DE ALMEIDA","THIAGO MAGNO","PT"
80000626733,"CAETANO ROQUE DA SILVA","CAETANO","PT"
80000626722,"JACKELINE OLIVEIRA ROCHA","JACKELINE ROCHA 13","PT"
80000626748,"CLEBER PEREIRA DE LANES","CLEBER LANES","PT"
80000626745,"JOÃO CARLOS COSER","JOÃO COSER","PT"
80000626757,"LEIDE MARIA FAGUNDES ALVES","LEIDE","PT"
80000626759,"ISABELLY SOUZA PEREIRA","ISA SOUSA","PT"
80000626734,"ANTONIO CARVALHO","CACIQUE TONINHO GUARANI","PT"
80000626738,"JOSÉ CARLOS NUNES DA SILVA","NUNES","PT"
80000626739,"PATRICIA TEIXEIRA MOSCHEN LIEVORE","PROFESSORA PATRICIA","PT"
80000626736,"HELDER IGNACIO SALOMÃO","HELDER SALOMÃO","PT"
80000626749,"CELIA MARIA VILELA TAVARES","CÉLIA TAVARES","PT"
80000626724,"JOSINETE MARA DA FONSECA","JOSINETE","PT"
80000626744,"JOSE IZIDORO RODRIGUES","ZÉ IZIDORO","PT"
80000626725,"GESSIMARA SOUSA","GESSIMARA","PT"
80000626756,"MARIA LUIZA CASOTTI LOUZADA","COTINHA","PT"
80000626760,"ROGERIO DIAS CIDADE","EOGERIO CIDADE","PT"
80000626735,"DANIEL SIDNEY COSTA","DANIEL COSTA","PT"
80000626758,"TADEU VILLANOVA DE MELLO","TADEU VILLANOVA","PT"
80000626723,"JACIARA TEIXEIRA DO NASCIMENTO","JACIARA ","PT"
80000626728,"MARIA DE LOURDES BARCELLOS","FORTALEZA","PT"
80000626750,"INÊS SIMON FERREIRA","INÊS","PT"
80000626752,"PERLY CIPRIANO","PERLY CIPRIANO","PT"
80000626727,"CARLOS ROBERTO CASTEGLIONE DIAS","CARLOS CASTEGLIONE","PT"
90000619132,"TADEU RIBEIRO DA COSTA","TADEU COSTA","PT"
90000619161,"MONICA PASSOS DE MELO","MONICA PASSOS","PT"
90000619159,"JULIO ANDERSON ALVES BUENO","PROFESSOR JULIO ANDERSON","PT"
90000619163,"JOÃO RODRIGUES DA COSTA","PROF JOÃO RODRIGUES","PT"
90000619136,"ODIMAR FERREIRA BARROS","BARROS DA SAUDE","PT"
90000619105,"LUÍS CESAR BUENO E FREITAS","LUIS CÉSAR BUENO","PT"
90000619135,"JADIEL DE OLIVEIRA AZEVEDO","PROFESSOR JADIEL","PT"
90000619138,"JOSÉ DE JESUS MATOS","JOTINHA","PT"
90000619166,"MÁRCIO JOSÉ MARTINS","MÁRCIO MARTINS","PT"
90000619167,"DAYANNE BATISTA DO PRADO","DAYANNE BATISTA","PT"
90000619097,"NELSON GONÇALVES GALVÃO","NELSON GALVÃO","PT"
90000619121,"ADEMIM SANTOS SILVA","ADEMIM DEPUTADO","PT"
90000619164,"GEAN CARLOS LACERDA SOUTO","CARLOS LACERDA","PT"
90000619104,"UANDER MARCOS DE PAULA E SILVA","UANDER MARCOS","PT"
90000619123,"LUIZ ANTÔNIO DE CARVALHO","LUIZ ANTÔNIO","PT"
90000619124,"MATEUS FERREIRA DA SILVA","MATEUS FERREIRA","PT"
90000619115,"JORGE CASTILHO DE ALBUQUERQUE ARAUJO","JORGE CASTILHO","PT"
90000619125,"MAURO RUBEM DE MENEZES JONAS","MAURO RUBEM","PT"
90000619162,"ANA MARIA DA SILVA","ANA MARIA DA SILVA","PT"
90000619109,"SORMANI IRINEU RIBEIRO","SORMANI IRINEU","PT"
90000619096,"ARQUIDONES BITES LEÃO LEITE","ARQUIDONES BITES","PT"
90000629598,"THAIS GONDIM COSTA","THAIS GONDIM","PT"
90000619098,"ADRIANA SAUTHIER ACCORSI","DELEGADA ADRIANA ACCORSI","PT"
90000619170,"CILMAR MARQUES PEREIRA","CILMAR MARQUES","PT"
90000619137,"RAIMUNDO MARTINS DE LOIOLA FILHO","LOIOLA","PT"
90000619129,"JOSE DO CARMO ALVES SIQUEIRA","PROFESSOR  ZÉ DO CARMO","PT"
90000619110,"EMERSON SOARES MOREIRA","EMERSON SALSICHA","PT"
