"eleicao_descricao","uf","candidato_cargo","nome_urna","partido_sigla"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ILMA SIQUEIRA","PSDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","DR. ROGÉRIO PATRÍCIO","DEM"
"Eleições Gerais Estaduais 2018","ES","SENADOR","SUBTENENTE ASSIS","PSL"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","DR. OTAVIO MEIRELES","PATRIOTA"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","MARCINHO","PC do B"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","JOÃO BELISÁRIO","PV"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","PAULO ROCHA","PSDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","RENZO VASCONCELOS","PP"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","CLAUDINHA LEITE","PTC"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ANDRESSA COLOMBIANO","PPS"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","GUTO MESSIAS","PPL"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","SIMONE AGUIAR","PPS"
"Eleições Gerais Estaduais 2018","ES","SENADOR","RICARDO FERRAÇO","PSDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","  PROF. DINA AMELIA","PC do B"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","JOÃO BATISTA","PTB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","ELIZANGELA","PRTB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","WEMERSON PROFESSOR NOTA 10","REDE"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","AURELIANO PIRES","DC"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","MARINETE","PTB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","GEDSON MERIZIO","PSB"
"Eleições Gerais Estaduais 2018","ES","SENADOR","ROGERIO BERNARDO","PMB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ESMAEL ALMEIDA","PSD"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ROMILSON ARAUJO ","PSDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","NEUCIMAR FRAGA","PSD"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ELIELCIO OLIVEIRA","PRB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ELIAS O BAIANO","PT"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","LUIZ PAULO","PPS"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","AMORIM DO GÁS","PC do B"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","SAMUEL NUNES","AVANTE"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","JOSE OLYMPIO","PSDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","RISONETE OLIVEIRA","SOLIDARIEDADE"
"Eleições Gerais Estaduais 2018","ES","2º SUPLENTE","WILSON JUNIOR","PSOL"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","BRUNO POLEZ","PSL"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","JORGE DA PIEDADE","PT"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ARNALDINHO BORGO","MDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ALEX MENESES","REDE"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","PROFESSORA JHENIFER","PMN"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","MARCOS COIMBRA (MARCÃO)","AVANTE"
