"","eleicao_descricao","uf","candidato_cargo","nome_urna","partido_sigla"
"172","Eleições Gerais Estaduais 2018","DF","DEPUTADO FEDERAL","WALTER CELIO","PT"
"173","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","MÁRCIO CARDOSO","PATRIOTA"
"174","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ASSIS DA SAÚDE","PMB"
"175","Eleições Gerais Estaduais 2018","DF","GOVERNADOR","ROGÉRIO ROSSO","PSD"
"176","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ANTONIO DO TAXI","PRTB"
"177","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","DAIANNE COUTO","PRP"
"178","Eleições Gerais Estaduais 2018","DF","DEPUTADO FEDERAL","JUSCELIA","DC"
"179","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ERICKA FILIPPELLI","MDB"
"180","Eleições Gerais Estaduais 2018","DF","DEPUTADO FEDERAL","MARCOS DANTAS","PSB"
"181","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","GABRIEL ASSIS","PATRIOTA"
"182","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","RÔNEI CATADOR","PDT"
"183","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","DIONES ALMEIDA","MDB"
"184","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ERIVALDO ALVES","PPL"
"185","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","JOAO HENRIQUE","PPL"
"186","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","RAY RUA BRASIL","PRP"
"187","Eleições Gerais Estaduais 2018","DF","DEPUTADO FEDERAL","ANGELO DONGA","REDE"
"188","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","THEODOMIRO LUSTOSA","PTB"
"189","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ANDERSON SANTOS","PRP"
"190","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","KELRIANY SILVA","SOLIDARIEDADE"
"191","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","EZEQUIAS PEREIRA","PSC"
"192","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","DR. MORAES","PHS"
"193","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","WINSTON","PRP"
"194","Eleições Gerais Estaduais 2018","DF","DEPUTADO FEDERAL","COMANDANTE ABOUD","PSL"
"195","Eleições Gerais Estaduais 2018","DF","VICE-GOVERNADOR","ERICKSON BLUN","NOVO"
"196","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","TÂNIA ALVES CÔELHO","PSC"
"197","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","DELEGADO FERNANDO FERNANDES","PROS"
"198","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ROMMEINE","DEM"
"199","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ENGENHEIRO URUBATAN","MDB"
"200","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ARI SUSHI","PTB"
"201","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ROSA MARTINS","PROS"
"202","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","MÁRCIA DE ALENCAR","PSB"
"203","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ERNESTO GOLD","PTB"
"204","Eleições Gerais Estaduais 2018","DF","DEPUTADO FEDERAL","NATHAN BELCAVELLO","PSOL"
"205","Eleições Gerais Estaduais 2018","DF","DEPUTADO FEDERAL","THAYNARA","REDE"
"206","Eleições Gerais Estaduais 2018","DF","VICE-GOVERNADOR","EDUARDO BRANDÃO","PV"
"207","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ANINHA DA AUTOESCOLA","PDT"
"208","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","DILSON ROSA","PODE"
"209","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","JÔ SILVA","PSC"
"210","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","VIVIANE","PODE"
"211","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","EUSA DE ASSIS","MDB"
"212","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","NICANOR FERREIRA","PR"
"213","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","CEZAR ","PROS"
"214","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","SERGIO ANDRADE","PHS"
"215","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","RISOMAR CARVALHO","PSD"
"216","Eleições Gerais Estaduais 2018","DF","DEPUTADO FEDERAL","EDIMAR PIRENEUS","MDB"
"217","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","CHOCOLATE BOTAFOGO","PODE"
"218","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","MOISES MARQUES","PDT"
"219","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","JOANA D ARC (PORTO RICO)","PROS"
"220","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","BOLIVAR ROCHA","AVANTE"
"221","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","GIOVANI CORRADI","PTB"
"222","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","RODRIGO BRITTO","PT"
"223","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ANTÔNIO MARQUES","PCO"
"224","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","TIA NAIR","AVANTE"
"225","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","CHRIS QUINTILIANO","PPS"
"226","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","PAULO COSTA - PC","REDE"
"227","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","NATANAEL SAULO","REDE"
"228","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ALINE","DEM"
"229","Eleições Gerais Estaduais 2018","DF","DEPUTADO FEDERAL","SABINO","PT"
"230","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","VÍTOR AQUINO","NOVO"
"231","Eleições Gerais Estaduais 2018","DF","DEPUTADO FEDERAL","SEU GABINETE","PSDB"
"232","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","PROF. LÚCIO ROGÉRIO","PRB"
"233","Eleições Gerais Estaduais 2018","DF","GOVERNADOR","IBANEIS","MDB"
"234","Eleições Gerais Estaduais 2018","DF","DEPUTADO FEDERAL","ERIKA KOKAY","PT"
"235","Eleições Gerais Estaduais 2018","DF","1º SUPLENTE","BISPO MANOEL FERREIRA","PSC"
"236","Eleições Gerais Estaduais 2018","DF","DEPUTADO FEDERAL","CARLOS AROUCK","PRP"
"237","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ZITO MOURÃO","PPL"
"238","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ANA LUIZA","PRB"
"239","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","TONINHO COWBOY","PPL"
"240","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","É DANIEL E PRONTO","PPS"
"241","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","RANGEL JACARÉ","PDT"
"242","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","LUCINHA DA SAÚDE","DEM"
