"eleicao_descricao","uf","candidato_cargo","nome_urna","partido_sigla"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","MAJOR FRAGOSO","PSD"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","IRMÃO GEL","PATRIOTA"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","PASTOR VALDYER","PT"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","ZÉ LUIZ DOS ANJOS","PP"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","AUGUSTO GOUVEIA","MDB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","BRUNO TOLEDO","PROS"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","NINA CACIQUE","PC do B"
"Eleições Gerais Estaduais 2018","AL","1º SUPLENTE","FLAVIO COSTA","PATRIOTA"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","RILSON FERREIRA","AVANTE"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","GILVAN DO CARMO","PATRIOTA"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","MEURY MEDEIROS","PPL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","CABO BEBETO","PSL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","SILVIA TENORIO","PSDB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","TEREZA CRISTINA","PPL"
"Eleições Gerais Estaduais 2018","AL","SENADOR","RENAN","MDB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","LUIZ CARVALHO","PRTB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","COSME SANTOS","AVANTE"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","MARIA CÉLIA","PV"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","KIT DE JESUS","PP"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","GLICERO DE LIMA CABRAL","PPS"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","HELOÁ BEZERRA","PRTB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","CECÍLIA","PC do B"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","SHEYLA ROCHA","PP"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","ANTONIO ALBUQUERQUE","PTB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","VISCONDE","PSOL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","LUCAS COSTTA","PPL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","SARGENTO RAMALHO","PPL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","TARCIZO FREIRE","PP"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","TONY CLOVES","PSOL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","NEILSON ÁVILA","PT"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","LIA DA LANCHONETE","PPL"
"Eleições Gerais Estaduais 2018","AL","VICE-GOVERNADOR","JORGE VI","PSDB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","PAULO CESAR","PSOL"
"Eleições Gerais Estaduais 2018","AL","1º SUPLENTE","KÁTIA CAVALCANTE","PCO"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","STEFFANY DIAS","PTC"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","JABOQUE","PT"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","MESTRE CLAUDIO","PC do B"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","JANE CIGANA","PODE"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","LEO DO BARRIGA CHEIA","PATRIOTA"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","GIVALDO CARIMBÃO","AVANTE"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","ANNA ALICE","PSOL"
