"","eleicao_descricao","uf","candidato_cargo","nome_urna","partido_sigla"
"140","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","RICARDO MAIA","PODE"
"141","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","ROBERTA SANTOS","AVANTE"
"142","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","LUIZ FELIPE BERGMANN","PSOL"
"143","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","MAIA","PC do B"
"144","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","ODILA RAIZEL","PT"
"145","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","NARLI RESENDE ","AVANTE"
"146","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","TIOZINHO DO DOG","PSL"
"147","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","MANINHO","PHS"
"148","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","PAULO RODRIGUES","PATRIOTA"
"149","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","EVANDRO ARAUJO","PSC"
"150","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","PROFESSORA MÉRI","PSOL"
"151","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","GERSON GUSSO","PMN"
"152","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","SILVIA APARECIDA CORDEIRO","PSC"
"153","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","MISAEL JUNIOR","PSC"
"154","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","PEDRO NESPOLO","PSD"
"155","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","SAMUEL GOMES","PDT"
"156","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","LUIZ VICENTIM","REDE"
"157","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","CIRINEU VACARI","PPS"
"158","Eleições Gerais Estaduais 2018","PR","SENADOR","NELTON","PDT"
"159","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","GISELE ALESSANDRA SHIMIDT","PSB"
"160","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","DELEGADO FRANCISCHINI","PSL"
"161","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","ADEMIR ZACARIAS","PSC"
"162","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","PROFESSOR PÉRICLES ARIZA","PSOL"
"163","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","JUSSARA CARDOSO","PDT"
"164","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","SILMARA MONTES","NOVO"
"165","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","AFONSO NINJA","PPS"
"166","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","PEDAGOGA VILMA","MDB"
"167","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","JULIO MENDES NÔKA","PPS"
"168","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","RENATO CARA NOVA","DC"
"169","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","ENIO GRIGOLETO","PRTB"
"170","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","RICARDO TRINDADE","PATRIOTA"
"171","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","MAX FERREIRA","PRTB"
"172","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","TABAJARA DO SITE","PPS"
"173","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","ROGERIO LORENZETTI","PSD"
"174","Eleições Gerais Estaduais 2018","PR","VICE-GOVERNADOR","ANATERRA","PT"
"175","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","SANDRO CORREA","PROS"
"176","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","PEDRINHO CRAVEIRO","PRTB"
"177","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","MONICA MELO","PSL"
"178","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","ISAAK ALMEIDA","PTC"
"179","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","VAGNER SOUZA","PRTB"
"180","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","GAUCHO TROVADOR","PRTB"
"181","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","PODÓLOGA ROZELIA PRETKO","REDE"
"182","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","BETH RODRIGUES","PATRIOTA"
"183","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","ELLYS DAYANE","PSDB"
"184","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","NATAN SPERAFICO","PP"
"185","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","ZE LUIZ","PSD"
"186","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","GENTIL PASKE","PV"
"187","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","MATTHEUS HERMANNY","PHS"
"188","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","CESAR NORTÃO","PODE"
"189","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","VICTÓRIA","PT"
"190","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","MIGUEL NEPOMOCENO","PSDB"
"191","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","DRA KATITA","PODE"
"192","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","INVESTIGADOR BRASIL FILHO","PSL"
"193","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","ALYSOM BRASIL","PP"
"194","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","PROFESSORA DANIELE","SOLIDARIEDADE"
"195","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","DONA ILDA","PPS"
"196","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","CARLOS MORAES","PV"
"197","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","JULIO FABRI","PV"
"198","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","CARLOS CHOCOLATE","PPL"
"199","Eleições Gerais Estaduais 2018","PR","VICE-GOVERNADOR","CARMINHA ","PSTU"
"200","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","MARCIA DA AVON","PROS"
"201","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","NATANAEL SANTOS","PTC"
"202","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","MARLENE BASILIO","PT"
"203","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","PAULO COLNAGHI","PV"
"204","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","PROF. MARCELO LIMA","PSOL"
"205","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","LUCIANA CAPOZZE","PSD"
"206","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","ROGERIO CREDENCE","PSL"
"207","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","IRACEMA CAMPOS","PT"
"208","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","TOTTI","PT"
"209","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","PATRICIA MATTOS","PPS"
"210","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","DR. ESPOSTI","PP"
"211","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","PROFESSORA CÁTIA","PSOL"
"212","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","NATALIE","PODE"
"213","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","PROF. DR. SERGIO SANTOS","AVANTE"
"214","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","EVANDRO ROMAN","PSD"
"215","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","ADELSOM BATISTA","PMN"
"216","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","LUCIANE MARTINS","PATRIOTA"
"217","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","FATIMA CARVALHO","AVANTE"
"218","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","ADEMIR MACHADO","PV"
"219","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","ARIEL CONFORTO","PRB"
"220","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","DIEGO MALDONADO","PC do B"
"221","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","NEVERALDO OLIBONI","PT"
"222","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","PAULO  BORLACHENCO","PATRIOTA"
"223","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","CAZUZA","PSDB"
"224","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","TITA FURLAN","PV"
"225","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","GIBSON","PODE"
"226","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","JÚLIO SOARES","REDE"
"227","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","CLAUDENIR RIBEIRO","PRP"
"228","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","ALBORGHETTI","PSL"
"229","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","VALDELICE TEODORO","PODE"
"230","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","PROF. NIVIA","PSOL"
"231","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","ROSANA MONNEY RIBAS","PPS"
