"","eleicao_descricao","uf","candidato_cargo","nome_urna","partido_sigla"
"120","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","PR. NALDO","DC"
"121","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","SANTIAGO","PTC"
"122","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ARLENILSON CUNHA","PDT"
"123","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","JEREMIAS CUNHA","PSDB"
"124","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","DANILO MEDEIROS","AVANTE"
"125","Eleições Gerais Estaduais 2018","AC","VICE-GOVERNADOR","THIAGO GONÇALVES","AVANTE"
"126","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","GLÓRIA MELO","PSOL"
"127","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","PROF.OGAN ARIMATEIA ","PC do B"
"128","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","DRA. VANDA MILANI","SOLIDARIEDADE"
"129","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","RAFAEL ALMEIDA","PDT"
"130","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","LUCAS OLIVEIRA","PSL"
"131","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","PROFESSOR EDILSON","PV"
"132","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","PRETA MARQUES","PDT"
"133","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ORIANA LUZ","PSB"
"134","Eleições Gerais Estaduais 2018","AC","2º SUPLENTE","SUELI BESSA","PSL"
"135","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","PROFESSORA FAÍMA","PSB"
"136","Eleições Gerais Estaduais 2018","AC","2º SUPLENTE","JAMYR ROSAS","PSOL"
"137","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","LIRA XAPURI","PRTB"
"138","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","FOLHINHA","PPS"
"139","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","DIR PARAGUAI","PSDB"
"140","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ROSILENE MOTA ","SOLIDARIEDADE"
"141","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","NESIO MENDES","PSDB"
"142","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","PROFESSOR VAL","REDE"
"143","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","JULINHO JR.","PRP"
"144","Eleições Gerais Estaduais 2018","AC","1º SUPLENTE","FRANK LIMA","PSL"
"145","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","RICARDO AZEVEDO","PSL"
"146","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","EVA SILVA ","DC"
"147","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ALESSANDRA CIACCI","PV"
"148","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","MARQUINHOS TIBURCIO","PSDB"
"149","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","N. LIMA","PSL"
"150","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","MACICLEIA FERREIRA","DC"
"151","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","DAVI DO PAO CASEIRO","PROS"
"152","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","RAFAEL DINIZ","PSB"
"153","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","SÉRGIO RODRIGUES DA BAIXADA","SOLIDARIEDADE"
"154","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","BETO","PSB"
"155","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ELISON AZEVEDO","PRP"
"156","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","CLAUDIO EZEQUIEL","PSOL"
"157","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","JANES PETECA","PDT"
"158","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","MANOEL DO CARMO É O CORREDOR","PV"
"159","Eleições Gerais Estaduais 2018","AC","SENADOR","JORGE VIANA","PT"
"160","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ERE","DEM"
"161","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","EMERSON LEÃO","MDB"
"162","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ARLEUDO","PPL"
"163","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","PERPETUA ALMEIDA ","PC do B"
"164","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","DR. JENILSON","PC do B"
"165","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","WAL ","PC do B"
"166","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","CLAUDILENE","REDE"
"167","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","OLAVINHO BOIADEIRO","PSL"
"168","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ROOSEVELT OLIVEIRA","REDE"
"169","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","DR. JAKSON RAMOS","PT"
"170","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","AMELIA AGUIAR","PPS"
"171","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","DR. ISAIAS JÚNIOR ","SOLIDARIEDADE"
"172","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","EBER MACHADO","PDT"
"173","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","GIGLIANE","PSL"
"174","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","EGLÊ","PPS"
"175","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","MATIAS MORAIS","AVANTE"
"176","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","VANUSA CORREA","PRB"
