"","screen_name","metricas","count"
"617","maanu_ap","rts",0
"618","julianabrs35","rts",0
"619","geyciette","rts",0
"620","televisaode2","rts",3
"621","pontoluna","rts",8
"622","FepssFernanda","rts",0
"623","HABITYOU91","rts",0
"624","TaliiaVieira","rts",0
"625","falcaodahora","rts",1
"626","gabbismf","rts",1
"627","Rachel72223851","rts",0
"628","BigFarmBrasil1","rts",0
"629","heydolfo","rts",0
"630","_vanzynha","rts",2
"631","DeckFreedom","rts",0
"632","rppame","rts",0
"633","dalsicox","rts",0
"634","eujotapevieira","rts",1
"635","sorryanalivia","rts",0
"636","fvzgguk","rts",0
"637","RenataDevillo","rts",0
"638","febschmidt","rts",1
"639","mizabeldavit","rts",0
"640","Carolbcarpes","rts",0
"641","binhatc","rts",1
"642","CosmeLazaro","rts",0
"643","loucsgonzaga","rts",1
"644","davidcoiv","rts",0
"645","mariaangelliica","rts",1
"646","taryzottino","rts",1
"647","fsloverboy","rts",0
"648","bolinhacomluz","rts",0
"649","ComentaJheine","rts",0
"650","jkeyvlog","rts",0
"651","LibiaSousa","rts",1
"652","FabiaRo34985096","rts",0
"653","vmin_eve","rts",7
"654","sairafdalyane","rts",1
"655","Patquest","rts",0
"656","Sarahandrade70","rts",34
"657","iamjotab_","rts",0
"658","Reinaldo_Cruz","rts",0
"659","bonaceracatuxa","rts",0
"660","nahcomentabbb","rts",3
"661","PERCYF4IRY","rts",0
"662","naiaatuita","rts",0
"663","pauloeuzebio03","rts",0
"664","sasasasas___","rts",3
"665","annehandressa","rts",5
"666","g3bigbig","rts",70
"667","mg_mila","rts",0
"668","Miraliceribeiro","rts",8
"669","ModeradorNet","rts",2
"670","comennrealitty","rts",1
"671","leonhart_dark","rts",2
"672","AnaDeSant","rts",0
"673","PutzKelen","rts",0
"674","p1nkse","rts",0
"675","Mariiu01","rts",2
"676","aruthinha","rts",0
"677","LaylaAgnesDaSi1","rts",0
"678","GuriaParanaue","rts",0
"679","natashtark","rts",1
"680","fiukkette","rts",2
"681","anti_carlasonsa","rts",14
"682","ufacomentei","rts",3
"683","thzmss","rts",3
"684","vaoliveira3","rts",1
"685","romildocabral1","rts",0
"686","fruta_quecaiu","rts",0
"687","us_santo","rts",0
"688","MarianeDoming17","rts",0
"689","comenta_becah","rts",1
"690","onfirefutebol","rts",0
"691","marcosgiustii","rts",43
"692","purplegirlyou2","rts",2
"693","danielaF1D","rts",4
"694","ThiagoRorizz","rts",6
"695","kookieKor","rts",1
"696","vigorabicha","rts",23
"697","DADAFOXSIQUEIRA","rts",0
"698","lilikatw","rts",4
"699","Ohana56771747","rts",0
"700","lntaek","rts",0
"701","elypeeper","rts",5
"702","RobertMeGusta2","rts",1
"703","havenalavinne","rts",0
"704","RaissaUrach","rts",0
"705","thiagoflop","rts",2
"706","tiagoabroficial","rts",2
"707","maarimonts","rts",0
"708","Roselene_GD","rts",3
"709","natasc_","rts",1
"710","lincolnarroba","rts",0
"711","daniimass","rts",0
"712","cflmoonlight","rts",0
"713","stylesletters","rts",2
"714","catarinaolivia2","rts",0
"715","GracianeCaldog1","rts",1
"716","juhhcruz","rts",0
"717","BellacosaVagner","rts",1
"718","psycolourry","rts",0
"719","JKDM0N","rts",0
"720","BBB21_Gatinho","rts",6
"721","euxabi","rts",0
"722","Juulipeppers","rts",0
"723","fabiolabarcela","rts",0
"724","MiNNiESVNG","rts",0
"725","so_nhadora","rts",3
"726","b20b21b","rts",0
"727","falloncaringtom","rts",0
"728","_marianagondim","rts",0
"729","blancadetails","rts",0
"730","natalyalvesc","rts",0
"731","DAI12DAVI","rts",0
"732","Roberta54799673","rts",0
"733","pegoncalves","rts",10
"734","ancalado","rts",1
"735","juliooliveira81","rts",1
"736","KTH4NGELIC","rts",0
"737","pablorlara","rts",0
"738","lucinhasilva_","rts",3
"739","sodapopcurtis99","rts",0
"740","nickpiton","rts",0
"741","ndiaboy1","rts",6
"742","dopovosdv","rts",0
"743","mirmatemanca","rts",0
"744","elysian_elysi","rts",0
"745","pudim_de_amora","rts",0
"746","helenavicctoria","rts",0
"747","ladygada22","rts",0
"748","salucaz","rts",0
"749","macedo_thali","rts",0
"750","marianasendoela","rts",0
"751","oguilleleao","rts",1
"752","feeer_circhia","rts",0
"753","crlgnes","rts",0
"754","cristinaxyt","rts",0
"755","erlan_bastos","rts",3
"756","nielzinho69","rts",0
"757","leozinhobbb21","rts",0
"758","assizcristina","rts",3
"759","krenatavalente","rts",1
"760","vmiinjk","rts",0
"761","VivianSilvaFer1","rts",0
"762","ttdastephaniem","rts",0
"763","Lud_ACL","rts",0
"764","THE_MO00N","rts",0
"765","AnaCrHipolito","rts",0
"766","HenryBarbosa","rts",1
"767","CarminhaInes","rts",3
"768","ahellenita","rts",3
"769","Mel_Realities","rts",2
"770","grlwthedragon","rts",0
"771","basic_trip","rts",4
"772","cass_tp","rts",0
"773","ComentaJessica","rts",1
"774","cncofoxes","rts",0
"775","tatavictorino","rts",0
"776","matbg4_","rts",0
"777","BBB21comentadoo","rts",0
"778","thalesttavares","rts",0
"779","Xua1o","rts",0
"780","CMarjoris","rts",0
"781","jes_thamela","rts",2
"782","levyazul","rts",0
"783","xdiego5","rts",0
"784","edimara_santoss","rts",0
"785","joohydevil","rts",0
"786","TudoReality1","rts",1
"787","priorzetenao","rts",0
"788","FiveMagic5","rts",0
"789","ifyeuun","rts",0
"790","ChsRichards","rts",10
"791","RioPopRe","rts",1
"792","claudiompe","rts",0
"793","X1M4","rts",0
"794","CarfielFelix","rts",0
"795","priscilacarraro","rts",0
"796","SolPacheco0","rts",1
"797","bbblizando21","rts",0
"798","cincomeiasete","rts",0
"799","justmekaline","rts",0
"800","tgracinha","rts",0
"801","Caiobroflovski","rts",0
"802","capricorniando","rts",0
"803","Cat_pipoca","rts",4
"804","FioTrx","rts",0
"805","HESGARDEN9I","rts",1
"806","ludymilasm","rts",1
"807","srtalycia_","rts",21
"808","naofuieudnv","rts",0
"809","FlorioRaquel","rts",0
"810","lastmem0ries","rts",0
"811","iludidachefe","rts",3
"812","FlaClaudinha","rts",2
"813","ParrillaGaby","rts",0
"814","rafinhasouzads","rts",0
"815","FALLSIFICADAJB","rts",2
"816","M1NG1IG0H0L1C","rts",0
"817","gabrielasoler_","rts",4
"818","Ey_alisson","rts",0
"819","_migueloliver","rts",0
"820","maxonpott3r","rts",0
"821","bbbcomeentss","rts",1
"822","DebsCavalcant","rts",0
"823","faubrito_","rts",0
"824","lili_dsilva","rts",1
"825","opzrm","rts",0
"826","chrisLuhLs","rts",0
"827","wrightcliffe","rts",0
"828","PimpaoDan","rts",43
"829","adrielliborges_","rts",0
"830","LuizFelipe386","rts",8
"831","Lilianah1504","rts",0
"832","wisheokjin","rts",0
"833","karinedelima10","rts",2
"834","rafaelaserrh","rts",0
"835","frangravem","rts",0
"836","bobyzi5","rts",1
"837","cbtf01","rts",0
"838","EsseDiegoLuiz","rts",8
"839","NatyCassal","rts",1
"840","plantaumBBB21","rts",1
"841","HURTF0RMARAIS","rts",0
"842","AleTCruz","rts",0
"843","elaine_tuita","rts",0
"844","anadallorto97","rts",0
"845","liviaalbumdb","rts",1
"846","ups_iwik","rts",1
"847","tayanesabado","rts",1
"848","marcosmartynss","rts",0
"849","2roastercoaster","rts",0
"850","Sirlene90307604","rts",1
"851","hwgflow","rts",0
"852","DaniellaLP3","rts",120
"853","solarsaby","rts",0
"854","limascla","rts",0
"855","fncrl","rts",0
"856","qlfcaio7","rts",2
"857","AbelhaRegina","rts",0
"858","elevatts","rts",0
"859","andersonmillerr","rts",3
"860","jojojo38855421","rts",0
"861","bicalhopink","rts",8
"862","EnqueteesBBB21","rts",62
"863","sol_tassi","rts",0
"864","rudrugho","rts",10
"865","ykiraaa_","rts",0
"866","Acaciabbb21","rts",5
"867","PaiMeiii","rts",0
"868","MenorDoK","rts",163
"869","carolinacamposx","rts",0
"870","AnaLima17842779","rts",0
"871","_rafaelanog","rts",0
"872","nakattayoshii","rts",1
"873","Carol_Curado_","rts",1
"874","VFutil","rts",0
"875","aerobushnell","rts",0
"876","borntoloui","rts",3
"877","lnteresteIlar","rts",4
"878","mariatlimaa_","rts",0
"879","barbarabraung","rts",0
"880","babi_ssampaio","rts",0
"881","abrahaobestlove","rts",1
"882","geminworldwide","rts",0
"883","Marjoriec1823","rts",5
"884","Vellocirapttor","rts",0
"885","Gabidesde1990","rts",1
"886","NoraCostaaa","rts",2
"887","laurjauregui02","rts",0
"888","laboure_lima","rts",0
"889","sweetkaii_","rts",0
"890","ei_veeds","rts",68
"891","brenocustodio","rts",0
"892","HoffmannFranci","rts",0
"893","vbezain","rts",0
"894","021Ferrei","rts",2
"895","Cut_Killer666","rts",0
"896","fabiopl","rts",0
"897","wiilliamfurtado","rts",1
